joy_ave,joy_max,anger_ave,anger_max,sad_ave,sad_max,fear_ave,fear_max,score,words,posts,
0.1201,0.3553,0.0885,0.1649,0.7496,0.9167,0.3661,0.931,-0.5412,9,7.5,
0.2392,0.5686,0.3192,0.9215,0.3144,0.779,0.1234,0.1989,-0.6327,14.25,7,
0.1195,0.1742,0.1123,0.1625,0.2934,0.5343,0.12,0.1736,-0.6511,10.2,2.16,
0.0728,0.0728,0.024,0.024,0.1531,0.1531,0.8645,0.8645,0.753,28,2.5,
0.2079,0.7539,0.1808,0.5937,0.3816,0.8593,0.1486,0.2633,-0.3485,10.92,7.38,
0.2869,0.6746,0.1082,0.272,0.3926,0.761,0.1564,0.3686,-0.2544,16.22,8.86,
0.1021,0.1747,0.1722,0.2312,0.3021,0.5709,0.2024,0.4035,-0.2557,19,2.67,
0.0927,0.1972,0.168,0.4926,0.6476,0.9537,0.1451,0.2291,-0.7986,17.71,2.14,
0.2681,0.8855,0.0926,0.8336,0.3731,0.9731,0.1106,0.9249,-0.3488,8.45,37.75,
0.5798,0.5798,0.381,0.381,0.0472,0.0472,0.0279,0.0279,-0.6741,8,7.29,
0.2877,0.7213,0.1028,0.2033,0.4204,0.9167,0.2698,0.931,-0.1371,12.25,30.63,
0.0294,0.035,0.2068,0.2212,0.6989,0.7303,0.1567,0.1689,-0.278,32,1.6,
0.2305,0.6744,0.0988,0.1647,0.5497,0.9167,0.1014,0.2647,-0.3944,7,3.5,
0.2538,0.6667,0.1871,0.5734,0.3524,0.7683,0.13,0.2279,-0.3458,12.38,6.43,
0.1306 ,0.1789 ,0.0831 ,0.1968 ,0.4663 ,0.5834,0.2575 ,0.3607,-0.7325 ,11.50 ,8.88 ,
0.1113,0.2577,0.1289,0.1927,0.5885,0.8124,0.1286,0.1786,-0.7823,11.5,23,
0.2992,0.746,0.1424,0.3287,0.3284,0.636,0.1475,0.4355,-0.2933,11,7.29,
0.2231,0.4118,0.0464,0.0532,0.4797,0.9531,0.1739,0.2608,-0.8305,10.33,1,
